Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
74,BN37,OSS2,BN37,turbine,-70.47626883,40.70310817,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4506848.009,12964.0028,11112.005,1.956046811936598,0
75,BN42,OSS1,BN42,turbine,-70.36668694,40.70445769,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4506848.004,22224.0,11112.0,1.956038182791044,0
76,BN38,OSS2,BN38,turbine,-70.45435304,40.7033864,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0057,4506848.009,14816.0029,11112.005,1.9489237637736263,0
77,BP41,OSS1,BP41,turbine,-70.38825755,40.6875169,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4504996.009,20372.0028,9260.005,2.719196138872984,0
78,BM38,OSS2,BM38,turbine,-70.45471609,40.72006506,6.0,5.0,6.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4508700.004,14816.0,12964.0,1.9560692666730253,0
79,BQ40,OSS1,BQ40,turbine,-70.40981731,40.67057213,6.0,5.0,6.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0028,4503144.005,18520.0,7408.001,1.948945289076292,0
80,BQ34,OSS2,BQ34,turbine,-70.54124557,40.66889224,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4503144.004,7408.0,7408.0,1.9489592072268749,0
81,BF44,OSS1,BF44,turbine,-70.32516944,40.82172481,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4519812.009,25928.0028,24076.005,2.719183352040416,0
82,BQ33,OSS2,BQ33,turbine,-70.56314918,40.66859772,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0028,4503144.004,5556.0,7408.0,1.9560559751005349,0
83,BG43,OSS1,BG43,turbine,-70.34678798,40.80479131,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4517960.009,24076.0028,22224.005,1.956070123447556,0
84,BQ32,OSS2,BQ32,turbine,-70.58505246,40.66829905,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0029,4503144.004,3704.0001,7408.0,1.948940789643959,0
85,BH43,OSS1,BH43,turbine,-70.34645088,40.78811208,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4516108.009,24076.0028,20372.005,1.9560755385780408,0
86,BQ31,OSS2,BQ31,turbine,-70.60695542,40.66799622,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,364174.0029,4503144.004,1852.0001,7408.0,1.9489460821607945,0
87,BJ43,OSS1,BJ43,turbine,-70.3461141,40.77143276,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0028,4514256.005,24076.0,18520.001,1.9560451834484045,0
88,BR30,OSS2,BR30,turbine,-70.62845232,40.65101175,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,362322.0029,4501292.004,0.0001,5556.0,1.9560516202907936,0
89,BK42,OSS1,BK42,turbine,-70.36771125,40.75449554,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4512404.004,22224.0,16668.0,1.9560558334096247,0
90,BL42,OSS1,BL42,turbine,-70.36736953,40.7378163,7.0,5.0,7.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4510552.004,22224.0,14816.0,1.9560622576595903,0
91,BN36,OSS2,BN36,turbine,-70.49818434,40.70282573,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0029,4506848.004,11112.0001,11112.0,1.956067582476927,0
92,BH42,OSS1,BH42,turbine,-70.36839556,40.78785385,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4516108.004,22224.0,20372.0,1.9560773047428108,0
93,BM36,OSS2,BM36,turbine,-70.49855829,40.71950411,8.0,1.0,8.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4508700.004,11112.0,12964.0,2.71950533809651,0
94,BJ42,OSS1,BJ42,turbine,-70.36805326,40.77117472,8.0,1.0,8.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4514256.004,22224.0,18520.0,7.747482081023546,0
95,BL37,OSS2,BL37,turbine,-70.4770061,40.7364652,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4510552.009,12964.0028,14816.005,1.95605778874356,0
96,BJ41,OSS1,BJ41,turbine,-70.3899921,40.77091255,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4514256.009,20372.0028,18520.005,1.9560631112680016,0
97,BK38,OSS2,BK38,turbine,-70.45544304,40.75342232,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4512404.005,14816.0,16668.001,1.9560739422207107,0
98,BK41,OSS1,BK41,turbine,-70.38964461,40.75423353,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4512404.009,20372.0028,16668.005,1.9489206359218167,0
99,BJ39,OSS2,BJ39,turbine,-70.43386895,40.77037563,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4514256.009,16668.0028,18520.005,1.956059636431308,0
100,BL41,OSS1,BL41,turbine,-70.38929744,40.7375544,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4510552.004,20372.0,14816.0,5.964740187089863,0
101,BM41,OSS1,BM41,turbine,-70.3889505,40.72087532,8.0,5.0,8.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4508700.009,20372.0028,12964.005,5.964757679443536,0
102,BM37,OSS2,BM37,turbine,-70.47663735,40.71978667,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4508700.004,12964.0,12964.0,4.245812075203515,0
103,BE44,OSS1,BE44,turbine,-70.3255016,40.83840409,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4521664.009,25928.0028,25928.005,1.956064161511054,0
104,BL38,OSS2,BL38,turbine,-70.45507938,40.73674376,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0056,4510552.009,14816.0028,14816.005,2.7194768270219023,0
105,BF43,OSS1,BF43,turbine,-70.34712535,40.82147049,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4519812.009,24076.0028,24076.005,2.719480978978748,0
106,BL39,OSS2,BL39,turbine,-70.43315239,40.73701811,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0028,4510552.004,16668.0,14816.0,4.245790468689724,0
107,BG42,OSS1,BG42,turbine,-70.36873811,40.80453297,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4517960.009,22224.0028,22224.005,2.7194695291768345,0
108,BK39,OSS2,BK39,turbine,-70.4335105,40.75369692,9.0,3.0,9.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4512404.009,16668.0028,16668.005,1.956042828221336,0
109,BH41,OSS1,BH41,turbine,-70.39033991,40.78759149,9.0,3.0,9.0,3.0,,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4516108.005,20372.0,20372.001,1.95605253155184,0
110,BP35,OSS2,BP35,turbine,-70.51972041,40.68586092,10.0,0.0,10.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4504996.005,9260.0,9260.001,2.7194731157106866,0
111,BC45,OSS1,BC45,turbine,-70.30419406,40.87201307,10.0,0.0,10.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4525368.009,27780.0028,29632.005,1.956050268377733,0
112,BN35,OSS2,BN35,turbine,-70.52009951,40.70253919,10.0,1.0,10.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4506848.005,9260.0,11112.001,9.36319058221155,0
113,BB45,OSS1,BB45,turbine,-70.30452154,40.88869234,10.0,1.0,10.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4527220.009,27780.0028,31484.005,1.9560385724799063,0
114,BM35,OSS2,BM35,turbine,-70.52047892,40.7192174,10.0,2.0,10.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4508700.005,9260.0,12964.001,1.9488954618290173,0
115,BA45,OSS1,BA45,turbine,-70.30484933,40.90537152,10.0,2.0,10.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0028,4529072.004,27780.0,33336.0,1.9560333020044096,0
116,BL35,OSS2,BL35,turbine,-70.52085865,40.73589556,10.0,3.0,10.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4510552.004,9260.0,14816.0,1.956045222546302,0
117,BB44,OSS1,BB44,turbine,-70.32649979,40.88844158,10.0,3.0,10.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0028,4527220.005,25928.0,31484.001,1.956039473578816,0
118,BK36,OSS2,BK36,turbine,-70.49930712,40.75286072,10.0,4.0,10.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4512404.004,11112.0,16668.0,2.7194685259273257,0
119,BC43,OSS1,BC43,turbine,-70.34813918,40.87150773,10.0,4.0,10.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4525368.009,24076.0028,29632.005,2.719464250406097,0
120,BJ37,OSS2,BJ37,turbine,-70.47774464,40.769822,10.0,5.0,10.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4514256.005,12964.0,18520.001,2.719457950920939,0
121,BL36,OSS2,BL36,turbine,-70.49893255,40.73618244,11.0,0.0,11.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4510552.005,11112.0,14816.001,2.71945639557397,0
122,BL40,OSS1,BL40,turbine,-70.41122506,40.73728834,11.0,0.0,11.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0028,4510552.005,18520.0,14816.001,1.9560409826685443,0
123,BK37,OSS2,BK37,turbine,-70.4773752,40.75314365,11.0,1.0,11.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4512404.009,12964.0028,16668.005,1.956034545693444,0
124,BM40,OSS1,BM40,turbine,-70.41087265,40.72060941,11.0,1.0,11.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4508700.009,18520.0028,12964.005,1.9560248231076425,0
125,BJ38,OSS2,BJ38,turbine,-70.45580697,40.77010088,11.0,2.0,11.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4514256.004,14816.0,18520.0,2.7194539415376444,0
126,BN40,OSS1,BN40,turbine,-70.41052056,40.70393038,11.0,2.0,11.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4506848.009,18520.0028,11112.005,2.719443444804143,0
127,BH38,OSS2,BH38,turbine,-70.4561712,40.78677938,11.0,3.0,11.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4516108.005,14816.0,20372.001,16.037471330067376,0
128,BP40,OSS1,BP40,turbine,-70.41016878,40.6872513,11.0,3.0,11.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4504996.009,18520.0028,9260.005,1.9560301202330923,0
129,BH39,OSS2,BH39,turbine,-70.43422774,40.78705426,11.0,4.0,11.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0028,4516108.004,16668.0,20372.0,1.9560409257453213,0
130,BN41,OSS1,BN41,turbine,-70.38860391,40.70419609,11.0,4.0,11.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4506848.004,20372.0,11112.0,1.956046185654336,0
131,BG39,OSS2,BG39,turbine,-70.43458676,40.80373291,11.0,5.0,11.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4517960.009,16668.0028,22224.005,2.7194657992338267,0
132,BD44,OSS1,BD44,turbine,-70.32583404,40.85508331,12.0,0.0,12.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4523516.009,25928.0028,27780.005,1.9489175176718665,0
133,BC44,OSS1,BC44,turbine,-70.32616676,40.87176249,12.0,1.0,12.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4525368.009,25928.0028,29632.005,1.9560312384544856,0
134,BD43,OSS1,BD43,turbine,-70.34780095,40.8548287,12.0,2.0,12.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4523516.009,24076.0028,27780.005,2.719453284194981,0
135,BD42,OSS1,BD42,turbine,-70.36976758,40.85456991,12.0,3.0,12.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4523516.009,22224.0028,27780.005,1.9488988672962777,0
136,BE43,OSS1,BE43,turbine,-70.34746301,40.83814962,13.0,0.0,13.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4521664.009,24076.0028,25928.005,4.236221637535564,0
137,BE42,OSS1,BE42,turbine,-70.36942413,40.83789098,13.0,1.0,13.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4521664.009,22224.0028,25928.005,1.948900119964522,0
138,BE41,OSS1,BE41,turbine,-70.39138497,40.83762816,13.0,2.0,13.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4521664.009,20372.0028,25928.005,1.9488911262241573,0
139,BF40,OSS1,BF40,turbine,-70.41299139,40.82068245,13.0,3.0,13.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0028,4519812.004,18520.0,24076.0,2.719435111910614,0
140,BF42,OSS1,BF42,turbine,-70.36908101,40.82121196,14.0,0.0,14.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4519812.004,22224.0,24076.0,6.771546190740756,0
141,BF41,OSS1,BF41,turbine,-70.39103635,40.82094929,14.0,1.0,14.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4519812.004,20372.0,24076.0,1.94889281457012,0
142,BG40,OSS1,BG40,turbine,-70.4126375,40.80400377,14.0,2.0,14.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4517960.009,18520.0028,22224.005,2.719429394627656,0
143,BG41,OSS1,BG41,turbine,-70.39068795,40.80427046,15.0,0.0,15.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4517960.009,20372.0028,22224.005,9.353179133001705,0
144,BH40,OSS1,BH40,turbine,-70.41228394,40.787325,15.0,1.0,15.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4516108.009,18520.0028,20372.005,2.719440248451272,0
145,BJ40,OSS1,BJ40,turbine,-70.41193067,40.77064618,15.0,2.0,15.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4514256.009,18520.0028,18520.005,1.9560186926808243,0
146,BK40,OSS1,BK40,turbine,-70.4115777,40.75396731,15.0,3.0,15.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4512404.009,18520.0028,16668.005,1.9560239663576755,0
147,OSS2,OSS2,OSS2,substation,-70.51934164,40.66918261,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,371582.0028,4503144.004,9260.0,7408.0,0.0,0
148,OSS1,OSS1,OSS1,substation,-70.30386685,40.85533374,,,,,0.0,offshore_substation_core_wind.yaml,export_core_wind.yaml,390102.0056,4523516.009,27780.0028,27780.005,0.0,0
